GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admission
337.000,118.000,4.000,4.500,4.500,9.650,1.000,0.920
324.000,107.000,4.000,4.000,4.500,8.870,1.000,0.760
316.000,104.000,3.000,3.000,3.500,8.000,1.000,0.720
322.000,110.000,3.000,3.500,2.500,8.670,1.000,0.800
314.000,103.000,2.000,2.000,3.000,8.210,0.000,0.650
330.000,115.000,5.000,4.500,3.000,9.340,1.000,0.900
321.000,109.000,3.000,3.000,4.000,8.200,1.000,0.750
308.000,101.000,2.000,3.000,4.000,7.900,0.000,0.680
302.000,102.000,1.000,2.000,1.500,8.000,0.000,0.500
323.000,108.000,3.000,3.500,3.000,8.600,0.000,0.450
325.000,106.000,3.000,3.500,4.000,8.400,1.000,0.520
327.000,111.000,4.000,4.000,4.500,9.000,1.000,0.840
328.000,112.000,4.000,4.000,4.500,9.100,1.000,0.780
307.000,109.000,3.000,4.000,3.000,8.000,1.000,0.620
311.000,104.000,3.000,3.500,2.000,8.200,1.000,0.610
314.000,105.000,3.000,3.500,2.500,8.300,0.000,0.540
317.000,107.000,3.000,4.000,3.000,8.700,0.000,0.660
319.000,106.000,3.000,4.000,3.000,8.000,1.000,0.650
318.000,110.000,3.000,4.000,3.000,8.800,0.000,0.630
303.000,102.000,3.000,3.500,3.000,8.500,0.000,0.620
312.000,107.000,3.000,3.000,2.000,7.900,1.000,0.640
325.000,114.000,4.000,3.000,2.000,8.400,0.000,0.700
328.000,116.000,5.000,5.000,5.000,9.500,1.000,0.940
334.000,119.000,5.000,5.000,4.500,9.700,1.000,0.950
336.000,119.000,5.000,4.000,3.500,9.800,1.000,0.970
340.000,120.000,5.000,4.500,4.500,9.600,1.000,0.940
322.000,109.000,5.000,4.500,3.500,8.800,0.000,0.760
298.000,98.000,2.000,1.500,2.500,7.500,1.000,0.440
295.000,93.000,1.000,2.000,2.000,7.200,0.000,0.460
310.000,99.000,2.000,1.500,2.000,7.300,0.000,0.540
300.000,97.000,2.000,3.000,3.000,8.100,1.000,0.650
327.000,103.000,3.000,4.000,4.000,8.300,1.000,0.740
338.000,118.000,4.000,3.000,4.500,9.400,1.000,0.910
340.000,114.000,5.000,4.000,4.000,9.600,1.000,0.900
331.000,112.000,5.000,4.000,5.000,9.800,1.000,0.940
320.000,110.000,5.000,5.000,5.000,9.200,1.000,0.880
299.000,106.000,2.000,4.000,4.000,8.400,0.000,0.640
300.000,105.000,1.000,1.000,2.000,7.800,0.000,0.580
304.000,105.000,1.000,3.000,1.500,7.500,0.000,0.520
307.000,108.000,2.000,4.000,3.500,7.700,0.000,0.480
308.000,110.000,3.000,3.500,3.000,8.000,1.000,0.460
316.000,105.000,2.000,2.500,2.500,8.200,1.000,0.490
313.000,107.000,2.000,2.500,2.000,8.500,1.000,0.530
332.000,117.000,4.000,4.500,4.000,9.100,0.000,0.870
326.000,113.000,5.000,4.500,4.000,9.400,1.000,0.910
322.000,110.000,5.000,5.000,4.000,9.100,1.000,0.880
329.000,114.000,5.000,4.000,5.000,9.300,1.000,0.860
339.000,119.000,5.000,4.500,4.000,9.700,0.000,0.890
321.000,110.000,3.000,3.500,5.000,8.850,1.000,0.820
327.000,111.000,4.000,3.000,4.000,8.400,1.000,0.780
313.000,98.000,3.000,2.500,4.500,8.300,1.000,0.760
312.000,100.000,2.000,1.500,3.500,7.900,1.000,0.560
334.000,116.000,4.000,4.000,3.000,8.000,1.000,0.780
324.000,112.000,4.000,4.000,2.500,8.100,1.000,0.720
322.000,110.000,3.000,3.000,3.500,8.000,0.000,0.700
320.000,103.000,3.000,3.000,3.000,7.700,0.000,0.640
316.000,102.000,3.000,2.000,3.000,7.400,0.000,0.640
298.000,99.000,2.000,4.000,2.000,7.600,0.000,0.460
300.000,99.000,1.000,3.000,2.000,6.800,1.000,0.360
311.000,104.000,2.000,2.000,2.000,8.300,0.000,0.420
309.000,100.000,2.000,3.000,3.000,8.100,0.000,0.480
307.000,101.000,3.000,4.000,3.000,8.200,0.000,0.470
304.000,105.000,2.000,3.000,3.000,8.200,1.000,0.540
315.000,107.000,2.000,4.000,3.000,8.500,1.000,0.560
325.000,111.000,3.000,3.000,3.500,8.700,0.000,0.520
325.000,112.000,4.000,3.500,3.500,8.920,0.000,0.550
327.000,114.000,3.000,3.000,3.000,9.020,0.000,0.610
316.000,107.000,2.000,3.500,3.500,8.640,1.000,0.570
